category	image name	image
discrete	string	string
class	meta	meta type=image
regulatory	do not enter	http://file.biolab.si/images/traffic-signs-rw/regulatory/do not enter.png
regulatory	no horseback riding	http://file.biolab.si/images/traffic-signs-rw/regulatory/no horseback riding.png
regulatory	no bicycles	http://file.biolab.si/images/traffic-signs-rw/regulatory/no bicycles.png
regulatory	no hitch hiking	http://file.biolab.si/images/traffic-signs-rw/regulatory/no hitch hiking.png
regulatory	no rollerblading	http://file.biolab.si/images/traffic-signs-rw/regulatory/no rollerblading.png
regulatory	no large trucks	http://file.biolab.si/images/traffic-signs-rw/regulatory/no large trucks.png
regulatory	no left or u-turn	http://file.biolab.si/images/traffic-signs-rw/regulatory/no left or u-turn.png
regulatory	no left turn	http://file.biolab.si/images/traffic-signs-rw/regulatory/no left turn.png
regulatory	no parking	http://file.biolab.si/images/traffic-signs-rw/regulatory/no parking.png
regulatory	no pedestrian crossing	http://file.biolab.si/images/traffic-signs-rw/regulatory/no pedestrian crossing.png
regulatory	no right turn	http://file.biolab.si/images/traffic-signs-rw/regulatory/no right turn.png
regulatory	no straight through	http://file.biolab.si/images/traffic-signs-rw/regulatory/no straight through.png
regulatory	no u-turn	http://file.biolab.si/images/traffic-signs-rw/regulatory/no u-turn.png
regulatory	stop	http://file.biolab.si/images/traffic-signs-rw/regulatory/stop.png
regulatory	wrong way	http://file.biolab.si/images/traffic-signs-rw/regulatory/wrong way.png
regulatory	yield	http://file.biolab.si/images/traffic-signs-rw/regulatory/yield.png
warning	270 degree loop	http://file.biolab.si/images/traffic-signs-rw/warning/270 degree loop.png
warning	avt crossing	http://file.biolab.si/images/traffic-signs-rw/warning/avt crossing.png
warning	be prepared to stop	http://file.biolab.si/images/traffic-signs-rw/warning/be prepared to stop.png
warning	circular intersection	http://file.biolab.si/images/traffic-signs-rw/warning/circular intersection.png
warning	cross roads	http://file.biolab.si/images/traffic-signs-rw/warning/cross roads.png
warning	curve speed	http://file.biolab.si/images/traffic-signs-rw/warning/curve speed.png
warning	curve	http://file.biolab.si/images/traffic-signs-rw/warning/curve.png
warning	dead end	http://file.biolab.si/images/traffic-signs-rw/warning/dead end.png
warning	merge left	http://file.biolab.si/images/traffic-signs-rw/warning/merge left.png
warning	motorcycle crossing	http://file.biolab.si/images/traffic-signs-rw/warning/motorcycle crossing.png
warning	no outlet	http://file.biolab.si/images/traffic-signs-rw/warning/no outlet.png
warning	one direction	http://file.biolab.si/images/traffic-signs-rw/warning/one direction.png
warning	reverse turn	http://file.biolab.si/images/traffic-signs-rw/warning/reverse turn.png
warning	road ends	http://file.biolab.si/images/traffic-signs-rw/warning/road ends.png
warning	road narrows	http://file.biolab.si/images/traffic-signs-rw/warning/road narrows.png
warning	side road and acute angle	http://file.biolab.si/images/traffic-signs-rw/warning/side road and acute angle.png
warning	side road	http://file.biolab.si/images/traffic-signs-rw/warning/side road.png
warning	speed advisory	http://file.biolab.si/images/traffic-signs-rw/warning/speed advisory.png
warning	t road	http://file.biolab.si/images/traffic-signs-rw/warning/t road.png
warning	tractor crossing	http://file.biolab.si/images/traffic-signs-rw/warning/tractor crossing.png
warning	turn left	http://file.biolab.si/images/traffic-signs-rw/warning/turn left.png
warning	turn right	http://file.biolab.si/images/traffic-signs-rw/warning/turn right.png
warning	two way traffic	http://file.biolab.si/images/traffic-signs-rw/warning/two way traffic.png
warning	y road	http://file.biolab.si/images/traffic-signs-rw/warning/y road.png
